t,command_a,target_erpm,temp_mos_c,temp_motor_c,current_motor_a,current_in_a,id_a,iq_a,duty,erpm,v_in,fault_code,encoder_angle,encoder_age,encoder_erpm,turns
0.025,0.0,120,28,30,0.0,0.0,-0.0,0.0,3.3733483388025203e-06,0,24.7,0,265.86254389350677,0,0.01012004501640756,2.738507066370852
0.05,0.1875,120,28,30,0.1875,0.015,-0.1325625,0.1325625,0.00023762184777609743,1,24.7,0,265.9160088092565,0,0.7128655433282923,2.7386555800257124
0.07500000000000001,0.375,120,28,30,0.375,0.03,-0.265125,0.265125,0.0006974610284844939,2,24.7,0,266.0729375406654,0,2.0923830854534815,2.739091493168515
0.1,0.5625000000000001,120,28,30,0.5625000000000001,0.04500000000000001,-0.3976875000000001,0.3976875000000001,0.0013744312399163255,4,24.7,0,266.3821845696466,0,4.123293719748976,2.7399505126934627
0.125,0.75,120,28,30,0.75,0.06,-0.53025,0.53025,0.0022603900684194634,7,24.7,0,266.890772335041,0,6.78117020525839,2.741363256486225
0.15,0.9375,120,28,30,0.9375,0.075,-0.6628124999999999,0.6628124999999999,0.0033475004408537335,10,24.7,0,267.64395993423307,0,10.0425013225612,2.7434554442617585
0.175,1.1249999999999998,120,28,30,1.1249999999999998,0.08999999999999998,-0.7953749999999998,0.7953749999999998,0.004628219174321718,14,24.7,0,268.6853092484554,0,13.884657522965155,2.7463480812457095
0.19999999999999998,1.3124999999999998,120,28,30,1.3124999999999998,0.10499999999999998,-0.9279374999999997,0.9279374999999997,0.006095285955284653,18,24.7,0,270.0567485883945,0,18.28585786585396,2.7501576349677626
0.22499999999999998,1.4999999999999998,120,28,30,1.4999999999999998,0.11999999999999998,-1.0604999999999998,1.0604999999999998,0.007741712731961478,23,24.7,0,271.79863395308587,0,23.225138195884433,2.7549962054252384
0.24999999999999997,1.6874999999999996,120,28,30,1.6874999999999996,0.13499999999999998,-1.1930624999999997,1.1930624999999997,0.009560773504512923,29,24.7,0,273.94980799160123,0,28.682320513538766,2.760971688865559
0.27499999999999997,1.8749999999999996,120,28,30,1.8749999999999996,0.14999999999999997,-1.3256249999999996,1.3256249999999996,0.011545994498093686,35,24.7,0,276.5476567536722,0,34.63798349428106,2.7681879354268673
0.3,2.0624999999999996,120,28,30,2.0624999999999996,0.16499999999999998,-1.4581874999999995,1.4581874999999995,0.013691144704415173,41,24.7,0,279.6281643121656,0,41.07343411324552,2.7767449008671266
0.325,2.2499999999999996,120,28,30,2.2499999999999996,0.17999999999999997,-1.5907499999999997,1.5907499999999997,0.015990226777999605,48,24.7,0,283.2259653372155,0,47.970680333998814,2.7867387926033764
0.35000000000000003,2.4375,120,28,30,2.4375,0.195,-1.7233124999999998,1.7233124999999998,0.01843746827382462,55,24.7,0,287.374395698826,0,55.31240482147386,2.7982622102745167
0.37500000000000006,2.625,120,28,30,2.625,0.21,-1.855875,1.855875,0.0210273132135562,63,24.7,0,292.1055411718762,0,63.081939640668594,2.8114042810329893
0.4000000000000001,2.8125000000000004,120,28,30,2.8125000000000004,0.22500000000000003,-1.9884375000000003,1.9884375000000003,0.023754413968047842,71,24.7,0,297.450284314687,0,71.26324190414353,2.8262507897630194
0.4250000000000001,3,120,28,30,3,0.24,-2.121,2.121,0.02661362344424605,80,24.7,0,303.43834958964237,0,79.84087033273815,2.8428843044156733
0.4500000000000001,3,120,28,30,3,0.24,-2.121,2.121,0.02936561256508682,88,24.7,0,310.045612416787,0,88.09683769526046,2.8612378122688527
0.47500000000000014,3,120,28,30,3,0.24,-2.121,2.121,0.03201440209389607,96,24.7,0,317.2488528879137,0,96.0432062816882,2.8812468135775378
0.5000000000000001,3,120,28,30,3,0.24,-2.121,2.121,0.034563862015374966,104,24.7,0,325.02572184137307,0,103.6915860461249,2.902849227337147
0.5250000000000001,3,120,28,30,3,0.24,-2.121,2.121,0.037017717189798405,111,24.7,0,333.35470820907767,0,111.05315156939521,2.925985300580771
0.5500000000000002,3,120,28,30,3,0.24,-2.121,2.121,0.03937955279518097,118,24.7,0,342.2151075879933,0,118.1386583855429,2.9505975210777593
0.5750000000000002,3,120,28,30,3,0.24,-2.121,2.121,0.041652819565361675,125,24.7,0,351.58699199019975,0,124.95845869608503,2.9766305333061105
0.6000000000000002,3,120,28,30,3,0.24,-2.121,2.121,0.04384083883166062,132,24.7,0,1.4511807273233899,0,131.52251649498186,3.004031057575898
0.6250000000000002,3,120,28,30,3,0.24,-2.121,2.121,0.045946807375473346,138,24.7,0,11.78921238680482,0,137.84042212642004,3.032747812185569
0.6500000000000002,3,120,28,30,3,0.24,-2.121,2.121,0.0479738020988931,144,24.7,0,22.583317859055796,0,143.9214062966793,3.0627314384973774
0.6750000000000003,3,120,28,30,3,0.24,-2.121,2.121,0.04992478452018461,150,24.7,0,33.81639437609738,0,149.77435356055383,3.0939344288224926
0.7000000000000003,3,120,28,30,3,0.24,-2.121,2.121,0.05180260510067769,155,24.7,0,45.471980523749835,0,155.40781530203307,3.1263110570104162
0.7250000000000003,3,120,28,30,3,0.24,-2.121,2.121,0.053610007409402284,161,24.7,0,57.534232190865396,0,160.83002222820684,3.1598173116412926
0.7500000000000003,3,120,28,30,3,0.24,-2.121,2.121,0.0553496321315497,166,24.7,0,69.98789942046415,0,166.0488963946491,3.1944108317235114
0.7750000000000004,3,120,28,30,3,0.24,-2.121,2.121,0.057024020926616584,171,24.7,0,82.81830412895283,0,171.07206277984974,3.230050844802647
