order,profile,armed,status,stop_reason,score,max_abs_erpm,max_abs_duty,mean_abs_id_a,wrong_direction,telemetry,error
1,01_mtpa-off_i25_b25,False,dry-run,,,,,,,,
2,02_mtpa-on_i25_b25,False,dry-run,,,,,,,,
