name,stage,ok,status,startup_s,energy_j,i2t,rmse_erpm,rms_current_a,start_angle,error
start_m0_offset+0,startup,False,stalled,,4.816500000000002,3.3564079335937476,,,0.0,
start_m1_offset+0,startup,True,completed,0.7750000000000004,3.3345000000000016,4.3139966198052555,,,0.0,
start_m1_offset-15,startup,True,completed,0.8500000000000004,3.779100000000002,4.4960050775390625,,,128.9806150591025,
start_m1_offset+15,startup,True,completed,0.7750000000000004,3.3345000000000016,4.463495367187499,,,265.86254389350677,
start_m1_offset-30,startup,True,completed,0.9750000000000005,4.520100000000002,4.697213825390626,,,52.11275869154338,
start_m1_offset+30,startup,True,completed,0.7750000000000004,3.3345000000000016,4.3139966198052555,,,177.36502807526085,
repeat1_start_m1_offset+0,startup,True,completed,0.7750000000000004,3.3345000000000016,4.3139966198052555,,,306.36466826113156,
repeat2_start_m1_offset+0,startup,True,completed,0.7750000000000004,3.3345000000000016,4.3139966198052555,,,75.36461781400249,
speed_gain0.5,speed,True,completed,,9.205970835881411,12.28848944930958,80.52178392250916,2.4634102077223967,205.5869821980964,
speed_gain1,speed,True,completed,,9.205971538529656,12.288491485628724,80.52178951318126,2.4634104118275957,115.63037835410796,
speed_confirmation,speed,True,completed,,9.205971538529656,12.288491485628724,80.52178951318126,2.4634104118275957,25.67374856886454,
