t,command_a,target_erpm,temp_mos_c,temp_motor_c,current_motor_a,current_in_a,id_a,iq_a,duty,erpm,v_in,fault_code,encoder_angle,encoder_age,encoder_erpm,turns,observer_error_deg,observer_error_age
0.0261402000032831,0.0,1200,26.6,-53.3,0.04,0.0,0.08,0.09,0.0,0,25.2,0,100.942384,1.3299999409355223e-05,0.012162208306393743,0.0003051777777776642,177.60134,0.00039850000030128285
0.05253449999872828,0.0,1200,26.6,-53.2,0.08,0.0,0.1,0.11,0.001,0,25.2,0,100.920408,1.4500001270789653e-05,0.012162208306393743,0.00024413333333323336,160.71613,0.00047340000310214236
0.07897500000399305,0.0,1200,26.6,-53.1,0.99,0.01,-0.64,0.87,0.021,0,25.2,0,100.920408,1.4199998986441642e-05,-0.09274111698686781,0.00024413333333323336,152.9323,0.000337799996486865
0.10499540000455454,0.0,1200,26.6,-52.9,2.59,0.03,-1.8,1.91,0.023,0,25.2,0,101.008304,1.750000228639692e-05,0.20927043918357147,0.0004882888888887906,157.81587,0.00023370000417344272
0.131375000004482,0.0,1200,26.6,-52.9,3.41,0.05,-2.41,2.44,0.025,1,25.2,0,101.469728,1.550000160932541e-05,1.3379265061596985,0.0017700222222221857,151.52971,0.0004065000030095689
0.1580203000048641,0.0,1200,26.6,-52.5,4.17,0.07,-2.96,2.96,0.026,3,25.2,0,102.15088,1.6600002709310502e-05,3.054842503967471,0.0036621111111110674,162.9277,0.00032720000308472663
0.1843933999989531,0.0,1200,26.6,-52.0,4.85,0.08,-3.45,3.43,0.027,7,25.2,0,103.46924,1.7799997294787318e-05,6.443727809316995,0.007324222222222135,151.6792,0.0005920999974478036
0.2109143000052427,0.0,1200,26.7,-51.5,5.48,0.1,-3.91,3.85,0.028,13,25.2,0,105.271,1.3199998647905886e-05,10.9913644891274,0.012329111111111027,154.21539,0.00039420000393874943
0.23712450000311946,0.0,1200,26.6,-51.4,6.03,0.12,-4.32,4.22,0.028,20,25.2,0,108.06152,1.6099998902063817e-05,17.7936948219084,0.02008055555555551,155.798,0.0004780000017490238
0.2634581000020262,0.0,1200,26.6,-51.3,6.49,0.13,-4.67,4.52,0.029,30,25.2,0,112.104496,1.2700002116616815e-05,26.83803002871337,0.03131104444444443,141.34972,0.00036579999868990853
0.2896690000052331,0.0,1200,26.6,-51.2,6.83,0.14,-4.94,4.73,0.03,43,25.2,0,117.619632,1.340000017080456e-05,39.163231694796515,0.046630866666666604,128.1682,0.00030620000325143337
0.31574640000326326,0.0,1200,26.6,-50.9,7.04,0.14,-5.03,4.92,0.028,60,25.2,0,124.958496,1.6400001186411828e-05,54.53155669673333,0.06701659999999994,123.16768,0.0003859999997075647
0.3419778000024962,0.0,1200,26.6,-50.9,6.94,0.13,-4.59,5.19,0.029,78,25.2,0,134.121096,1.6099998902063817e-05,73.37843357792927,0.0924682666666666,126.45302,0.0001795999996829778
0.36806739999883575,0.0,1200,26.7,-51.1,6.92,0.14,-5.06,4.72,0.029,96,25.2,0,144.558112,1.3700002455152571e-05,92.90288552920971,0.12145997777777771,86.44611,0.0003915999986929819
0.39414750000287313,0.0,1200,26.6,-51.1,7.01,0.14,-5.07,4.84,0.027,116,25.2,0,156.928704,2.5600005756132305e-05,114.3526911045114,0.15582273333333332,71.1513,0.00042940000275848433
0.4208825000023353,0.0,1200,26.6,-51.3,6.69,0.13,-4.52,4.9,0.029,137,25.2,0,171.342768,1.2200005585327744e-05,136.47880840946144,0.19586179999999997,30.28033,0.00036380000528879464
0.44730510000226786,0.0,1200,26.6,-51.6,6.75,0.13,-4.97,4.56,0.027,157,25.2,0,187.185056,1.2500000593718141e-05,157.6568510171378,0.23986815555555552,-11.09155,0.00041429999691899866
0.4734699000036926,0.0,1200,26.6,-51.5,6.45,0.12,-4.38,4.71,0.029,176,25.2,0,204.082032,1.8999999156221747e-05,177.36923567841313,0.28680419999999995,-41.99576,0.0005641999960062094
0.4996705000012298,0.0,1200,26.6,-51.2,6.61,0.12,-4.65,4.68,0.027,194,25.2,0,222.36328,1.5700003132224083e-05,197.07773896326597,0.3375854444444444,-52.06857,0.00032140000257641077
0.5260963000037009,0.0,1200,26.6,-50.9,6.48,0.13,-4.71,4.44,0.028,211,25.2,0,241.831056,1.5199999324977398e-05,214.44357978368757,0.3916625999999999,-133.70329,0.00033790000452427194
0.5523237000015797,0.0,1200,26.6,-50.7,6.53,0.12,-4.43,4.76,0.029,228,25.2,0,262.551264,1.3800003216601908e-05,231.30015093985963,0.4492187333333333,-159.80659,0.000407300001825206
0.5786418999996386,0.0,1200,26.6,-50.8,6.61,0.12,-4.57,4.73,0.028,246,25.2,0,285.051264,1.340000017080456e-05,248.3861583639464,0.5117187333333333,149.16951,0.00040889999945648015
0.6052211999995052,0.0,1200,26.6,-50.7,6.57,0.13,-4.84,4.44,0.027,264,25.2,0,309.111328,1.8800004909280688e-05,265.711626448477,0.5785522444444444,134.93193,0.00038360000326065347
0.6315353000027244,0.0,1200,26.6,-50.8,6.52,0.13,-4.64,4.54,0.027,281,25.2,0,334.182144,1.4899997040629387e-05,282.65588002628107,0.6481933999999999,75.86865,0.000415000002249144
0.6579782000044361,0.0,1200,26.6,-51.2,6.5,0.12,-4.54,4.6,0.028,300,25.2,0,1.208496,1.4200006262399256e-05,301.72973859341926,0.7232666,11.83624,0.000258700005360879
0.6844796000004862,0.0,1200,26.6,-51.5,6.45,0.12,-4.51,4.58,0.028,318,25.2,0,29.355468,1.6400001186411828e-05,319.85255991748045,0.8014526333333334,-36.9884,0.0004977999997208826
0.7107314000022598,0.0,1200,26.6,-51.6,6.52,0.12,-4.57,4.61,0.028,333,25.2,0,58.271484,1.479999627918005e-05,336.19515133134325,0.8817749000000001,-107.29037,0.0003495999990263954
0.7371474000028684,0.0,1200,26.6,-51.5,6.59,0.12,-4.63,4.65,0.029,350,25.2,0,88.637696,2.2599997464567423e-05,352.53080144018077,0.966125488888889,-178.33198,0.0005601000011665747
0.7638337000025786,0.0,1200,26.6,-51.4,6.59,0.13,-4.67,4.6,0.028,368,25.2,0,121.223144,1.1500000255182385e-05,370.4577101945874,1.0566406222222224,119.93501,0.0005098999972688034
0.7905968999984907,0.0,1200,26.6,-51.3,6.64,0.13,-4.71,4.64,0.027,385,25.2,0,155.258784,1.5099998563528061e-05,387.19897690248183,1.1511840666666668,91.44452,0.00039060000563040376
0.8169698999990942,0.0,1200,26.7,-51.4,6.62,0.13,-4.64,4.67,0.026,404,25.2,0,190.458992,1.3199998647905886e-05,405.2958607510773,1.2489624222222224,-3.83067,0.00045620000310009345
0.8430230000012671,0.0,1200,26.6,-51.2,6.53,0.12,-4.44,4.72,0.028,420,25.2,0,226.03272,1.9700004486367106e-05,422.73189230249835,1.3477783333333335,-61.53858,0.0004163000048720278
0.8698184000022593,0.0,1200,26.6,-51.0,6.53,0.13,-4.64,4.65,0.029,436,25.2,0,263.605952,1.5400000847876072e-05,439.58482599238874,1.4521484222222223,-167.25761,0.0002359000063734129
0.8964603999993415,0.0,1200,26.6,-51.0,6.67,0.13,-4.82,4.58,0.028,454,25.2,0,302.937024,1.4699995517730713e-05,456.7223413081099,1.5614014,137.43188,0.0005363999953260645
0.9231571999989683,0.0,1200,26.7,-51.0,6.74,0.13,-4.67,4.81,0.027,471,25.2,0,343.696288,1.4999997802078724e-05,473.83989915157474,1.6746215777777778,77.22314,0.0003761999978451058
0.9493931000033626,0.0,1200,26.7,-51.3,6.58,0.13,-4.61,4.64,0.029,489,25.2,0,25.158692,1.5199999324977398e-05,490.11055068189836,1.7897949222222223,-29.49623,0.0003656000044429675
0.9753903000018909,0.0,1200,26.6,-51.4,6.72,0.13,-4.84,4.64,0.027,504,25.2,0,67.104492,1.2500000593718141e-05,506.30023613408946,1.9063110333333333,-146.44733,0.00034839999716496095
