name,stage,ok,status,startup_s,energy_j,i2t,rmse_erpm,rms_current_a,start_angle,error
start_m0_offset+0,startup,False,stalled,,4.816500000000002,3.3564079335937476,,,0.0,
start_m1_offset+0,startup,True,completed,0.7750000000000004,3.3345000000000016,4.3139966198052555,,,0.0,
start_m1_offset-15,startup,True,completed,0.8500000000000004,3.779100000000002,4.4960050775390625,,,128.92042420192746,
start_m1_offset+15,startup,True,completed,0.7750000000000004,3.3345000000000016,4.463495367187499,,,265.80189226275957,
start_m1_offset-30,startup,True,completed,0.9750000000000005,4.520100000000002,4.697213825390626,,,52.05277554772647,
start_m1_offset+30,startup,True,completed,0.7750000000000004,3.3345000000000016,4.3139966198052555,,,177.30274623253672,
repeat1_start_m1_offset+0,startup,True,completed,0.7750000000000004,3.3345000000000016,4.3139966198052555,,,306.3044713131512,
repeat2_start_m1_offset+0,startup,True,completed,0.7750000000000004,3.3345000000000016,4.3139966198052555,,,75.30442101302197,
speed_gain0.5,speed,True,completed,,9.205641466805393,12.287535001718092,80.51916344883153,2.4633145392675617,205.5265206083891,
speed_gain1,speed,True,completed,,9.205644383052057,12.28754345169116,80.51918664907139,2.4633153862616055,115.52202157707598,
speed_gain1.5,speed,True,completed,,9.20564438305206,12.287543451691166,80.51918664907141,2.463315386261606,25.517414880139768,
speed_confirmation,speed,False,aborted,,2.6542658127993697,3.1242707328390873,,,295.512808183209,Campaign energy budget reached
